sample_id,channel_id,channel_index,raw_channel_index,channel_role,sampling_rate_hz,duration_seconds,unique_value_count,minimum_stored_unit,maximum_stored_unit,standard_deviation_stored_unit,transition_rate,median_run_samples,dc_lsb_multiple_rate
train_000128,POL DC06,41,41,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,100.72144278365037,0.11990099917499313,2.0,1.0
train_000128,POL DC07,42,42,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,80.34474993787055,0.07816731806098384,2.0,1.0
train_000128,POL DC08,43,43,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0001500000071246177,127.56844921888741,0.18313485945716215,2.0,1.0
train_000128,POL DC09,44,44,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,35.633632354428784,0.017400145001208345,2.0,1.0
train_000128,POL DC10,45,45,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,88.36275090269379,0.09521746014550121,2.0,1.0
train_000128,POL DC11,46,46,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,182.57102971867752,0.3484362369686414,2.0,1.0
train_000128,POL DC12,47,47,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,35.541974596925776,0.017300144167868067,2.0,1.0
train_000128,POL DC13,48,48,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,49.135368550447176,0.03155026291885766,2.0,1.0
train_000128,POL DC14,49,49,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0001500000071246177,173.3246992352455,0.31523596029966916,2.0,1.0
train_000128,POL DC15,50,50,auxiliary_dc,2000.0,60.0,2,-732.5999755859375,-366.29998779296875,143.9284930746277,0.23108525904382538,2.0,1.0
train_000128,POL DC16,51,51,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,53.18278338217429,0.03673363944699539,2.0,1.0
train_000128,POL AC1,124,124,seeg_ac_candidate,2000.0,60.0,8724,-306.5426025390625,949.3162841796875,131.3728137463065,0.9935166126384386,1.0,0.0033241632278771206
train_000128,POL AC2,125,125,seeg_ac_candidate,2000.0,60.0,8759,-279.00384521484375,1046.3865966796875,137.7105752984078,0.9933249443745364,1.0,0.003310880237470031
train_000128,POL AC3,126,126,seeg_ac_candidate,2000.0,60.0,8304,-282.5190124511719,909.9606323242188,129.00302411966376,0.9937666147217894,1.0,0.004094412331406551
train_000128,POL AC4,127,127,seeg_ac_candidate,2000.0,60.0,8110,-271.9722900390625,857.3241577148438,121.72699296395538,0.9934832790273253,1.0,0.0033292231812577064
train_000128,POL AC5,128,128,seeg_ac_candidate,2000.0,60.0,7893,-284.08135986328125,805.2733764648438,116.48428832165479,0.9931166093050775,1.0,0.0044343088812872165
train_000128,POL AC6,129,129,seeg_ac_candidate,2000.0,60.0,7701,-284.4725036621094,765.13671875,111.53894948600463,0.9932832773606447,1.0,0.0036358914426697832
train_000128,POL AC7,130,130,seeg_ac_candidate,2000.0,60.0,7752,-291.4058837890625,756.0546264648438,109.74266957926712,0.9932832773606447,1.0,0.0030959752321981426
train_000128,POL AC8,131,131,seeg_ac_candidate,2000.0,60.0,8257,-334.5702209472656,859.8632202148438,119.90370634098474,0.993174943124526,1.0,0.004359937023131888
train_000128,POL AC9,132,132,seeg_ac_candidate,2000.0,60.0,8928,-416.01531982421875,962.5,133.15778050431186,0.9933582779856499,1.0,0.003360215053763441
train_000128,POL AC10,133,133,seeg_ac_candidate,2000.0,60.0,9229,-460.44891357421875,1008.2999877929688,137.17849188469006,0.9931832765273044,1.0,0.0041174558457037595
train_000128,POL AC11,134,134,seeg_ac_candidate,2000.0,60.0,9171,-479.49169921875,1016.406005859375,135.1422387045055,0.9935582796523305,1.0,0.003162141533093447
train_000128,POL AC12,135,135,seeg_ac_candidate,2000.0,60.0,8955,-352.53863525390625,1087.7919921875,139.16943553601237,0.9931166093050775,1.0,0.004355108877721943
train_000128,POL AC13,136,136,seeg_ac_candidate,2000.0,60.0,9289,-389.4524841308594,1166.698974609375,145.96092807161168,0.9938832823606863,1.0,0.0038755517278501453
train_000128,POL AC14,137,137,seeg_ac_candidate,2000.0,60.0,9710,-442.4802551269531,1256.8349609375,156.52685559056164,0.9934749456245469,1.0,0.004016477857878476
train_000128,POL AC15,138,138,seeg_ac_candidate,2000.0,60.0,8514,-438.08074951171875,884.182861328125,120.16879443693948,0.9970499754164618,1.0,0.0036410617805966643
train_000128,POL AC16,139,139,seeg_ac_candidate,2000.0,60.0,10580,-511.3270263671875,1476.269287109375,178.74462325783736,0.9933499445828715,1.0,0.003402646502835539
train_000160,POL DC01,36,36,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,84.86515361454424,0.0873673947282894,2.0,1.0
train_000160,POL DC02,37,37,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,108.14642074081615,0.13681780681505679,2.0,1.0
train_000160,POL DC03,38,38,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,38.45032591486999,0.02051683764031367,2.0,1.0
train_000160,POL DC04,39,39,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,94.89140045680804,0.10680089000741673,2.0,1.0
train_000160,POL DC05,40,40,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,37.39746226289668,0.01895015791798265,2.0,1.0
train_000160,POL DC06,41,41,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,181.6410680844899,0.34478620655172126,2.0,1.0
